Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_TS,Chrome 128.0.0.0,,,10-09-2024 00:39:08,10-09-2024 00:39:31,23.281s,PASSED
,,,,,,,
Test Cases/Logion_TS,Chrome 128.0.0.0,,,10-09-2024 00:39:09,10-09-2024 00:39:31,21.934s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,10-09-2024 00:39:10,10-09-2024 00:39:17,7.363s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 128.0.0.0,,,10-09-2024 00:39:17,10-09-2024 00:39:23,5.795s,PASSED
"click(findTestObject(""Object Repository/Login_TS/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 128.0.0.0,,,10-09-2024 00:39:23,10-09-2024 00:39:24,0.540s,PASSED
"click(findTestObject(""Object Repository/Login_TS/Page_CURA Healthcare Service/a_Login""))",Chrome 128.0.0.0,,,10-09-2024 00:39:24,10-09-2024 00:39:25,1.064s,PASSED
"setText(findTestObject(""Object Repository/Login_TS/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 128.0.0.0,,,10-09-2024 00:39:25,10-09-2024 00:39:26,0.870s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_TS/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 128.0.0.0,,,10-09-2024 00:39:26,10-09-2024 00:39:26,0.738s,PASSED
"click(findTestObject(""Object Repository/Login_TS/Page_CURA Healthcare Service/button_Login""))",Chrome 128.0.0.0,,,10-09-2024 00:39:26,10-09-2024 00:39:28,2.021s,PASSED
"click(findTestObject(""Object Repository/Login_TS/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 128.0.0.0,,,10-09-2024 00:39:28,10-09-2024 00:39:29,0.465s,PASSED
"click(findTestObject(""Object Repository/Login_TS/Page_CURA Healthcare Service/a_Logout""))",Chrome 128.0.0.0,,,10-09-2024 00:39:29,10-09-2024 00:39:30,1.352s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,10-09-2024 00:39:30,10-09-2024 00:39:31,0.817s,PASSED
